epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.289,1.57808,5.01511,0.00422,0.88573,0.9016,0.9487,0.61147,1.25779,0.56495,0.00466,0.000665644,0.000665644,0.000665644
2,290.288,1.4543,0.83316,0.0038,0.87381,0.89822,0.93708,0.58029,1.40481,0.56674,0.0053,0.00124438,0.00124438,0.00124438
3,421.392,1.43074,0.62135,0.00377,0.91653,0.90284,0.95647,0.5786,1.41682,0.48578,0.00557,0.00173511,0.00173511,0.00173511
4,555.402,1.33535,0.53663,0.00347,0.95003,0.93015,0.97762,0.67319,1.17075,0.42821,0.00412,0.001604,0.001604,0.001604
5,691.052,1.24961,0.47159,0.00316,0.94161,0.94535,0.98046,0.71765,1.06977,0.37767,0.004,0.001472,0.001472,0.001472
6,857.887,1.16557,0.39713,0.00334,0.93431,0.91585,0.9599,0.62034,1.3673,0.54413,0.00634,0.00134,0.00134,0.00134
7,985.937,1.08992,0.36607,0.00303,0.96554,0.96723,0.98477,0.72549,1.08128,0.33195,0.00376,0.001208,0.001208,0.001208
8,1111.66,1.0332,0.34081,0.00286,0.96437,0.96184,0.9856,0.77527,0.90524,0.29381,0.00315,0.001076,0.001076,0.001076
9,1236.73,0.98673,0.32285,0.00266,0.96507,0.96927,0.98819,0.77478,0.91403,0.28981,0.00315,0.000944,0.000944,0.000944
10,1361.63,0.94559,0.30453,0.00251,0.97877,0.97869,0.99127,0.81512,0.82386,0.2513,0.00263,0.000812,0.000812,0.000812
11,1488.55,0.90059,0.28251,0.00234,0.98209,0.97423,0.99031,0.81312,0.81698,0.24936,0.00256,0.00068,0.00068,0.00068
12,1614.3,0.86592,0.27447,0.00223,0.96954,0.97695,0.98923,0.83318,0.74999,0.24041,0.00241,0.000548,0.000548,0.000548
13,1738.91,0.83256,0.26035,0.00211,0.97615,0.98218,0.99081,0.83859,0.7393,0.22753,0.00237,0.000416,0.000416,0.000416
14,1865.5,0.7993,0.25133,0.00199,0.98264,0.97956,0.99101,0.84773,0.70685,0.2228,0.00218,0.000284,0.000284,0.000284
15,1992.93,0.7844,0.24353,0.00193,0.9822,0.98041,0.99181,0.85653,0.68515,0.21413,0.00209,0.000152,0.000152,0.000152
