epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.395,1.91337,7.245,0.00424,0.6179,0.68665,0.66532,0.28206,1.93166,1.53856,0.0052,0.000665931,0.000665931,0.000665931
2,496.618,1.65821,1.67328,0.00363,0.65058,0.6504,0.69163,0.253,2.27164,1.49111,0.00694,0.00124465,0.00124465,0.00124465
3,734.306,1.60285,1.46716,0.00346,0.77346,0.63634,0.77149,0.40977,1.60682,1.30461,0.00418,0.00173536,0.00173536,0.00173536
4,985.139,1.48199,1.35035,0.00316,0.73082,0.63634,0.7656,0.3937,1.53234,1.32396,0.00415,0.001604,0.001604,0.001604
5,1226.86,1.41123,1.24913,0.00294,0.76104,0.68561,0.80519,0.46815,1.31284,1.19202,0.00344,0.001472,0.001472,0.001472
6,1516.39,1.28957,1.16288,0.00313,0.79419,0.75052,0.84913,0.52293,1.22192,1.1157,0.00313,0.00134,0.00134,0.00134
7,1759.75,1.22681,1.06524,0.0029,0.8436,0.73983,0.86978,0.55296,1.2163,0.99378,0.00313,0.001208,0.001208,0.001208
8,1990.18,1.17898,0.99523,0.00276,0.80824,0.73801,0.85381,0.57554,1.11052,0.99391,0.00281,0.001076,0.001076,0.001076
9,2236.38,1.14394,0.91091,0.00263,0.82546,0.78076,0.8819,0.60954,1.08117,0.89898,0.00272,0.000944,0.000944,0.000944
10,2457.5,1.09106,0.86397,0.00249,0.8342,0.81022,0.89971,0.62679,1.04008,0.84954,0.00258,0.000812,0.000812,0.000812
11,2672.94,1.05607,0.81209,0.00238,0.85519,0.83442,0.91876,0.64406,1.05573,0.78206,0.00268,0.00068,0.00068,0.00068
12,2883.97,1.02101,0.76472,0.00228,0.8492,0.79712,0.90717,0.6542,0.95727,0.81869,0.00237,0.000548,0.000548,0.000548
13,3093.91,1.00171,0.70721,0.00222,0.8836,0.84301,0.93203,0.68031,0.95194,0.72396,0.00233,0.000416,0.000416,0.000416
14,3300.16,0.9644,0.67929,0.00213,0.89662,0.85461,0.93993,0.69347,0.92105,0.70396,0.00223,0.000284,0.000284,0.000284
15,3506.81,0.9382,0.66865,0.00206,0.91137,0.86001,0.94425,0.70062,0.91351,0.6896,0.00221,0.000152,0.000152,0.000152
